X,Função W(x)
200.5,3.9317337582801386
201.0,3.9337194937080877
201.5,3.9357004980635955
202.0,3.9376767941546618
202.5,3.939648404623778
203.0,3.941615351949531
203.5,3.9435776584481843
204.0,3.945535346275245
204.5,3.947488437427008
205.0,3.949436953742082
205.5,3.9513809169029015
206.0,3.953320348437212
206.5,3.955255269719549
207.0,3.957185701972689
207.5,3.959111666269087
208.0,3.9610331835323023
208.5,3.962950274538398
209.0,3.96486295991733
209.5,3.96677126015432
210.0,3.968675195591208
210.5,3.9705747864277936
211.0,3.9724700527231596
211.5,3.974361014396979
212.0,3.9762476912308107
212.5,3.978130102869374
213.0,3.9800082688218157
213.5,3.9818822084629564
214.0,3.9837519410345252
214.5,3.9856174856463813
215.0,3.987478861277719
215.5,3.9893360867782595
216.0,3.991189180869432
216.5,3.993038162145538
217.0,3.9948830490749025
217.5,3.9967238600010138
218.0,3.998560613143651
218.5,4.000393326599995
219.0,4.0022220183457335
219.5,4.004046706236144
220.0,4.005867408007177
220.5,4.007684141276515
221.0,4.009496923544627
221.5,4.0113057721958105
222.0,4.013110704499218
222.5,4.01491173760988
223.0,4.016708888569706
223.5,4.018502174308483
224.0,4.0202916116448595
224.5,4.02207721728732
225.0,4.0238590078351475
225.5,4.025636999779376
226.0,4.027411209503733
226.5,4.029181653285573
227.0,4.030948347296794
227.5,4.0327113076047585
228.0,4.034470550173187
228.5,4.036226090863053
229.0,4.03797794543347
229.5,4.039726129542557
230.0,4.041470658748309
230.5,4.043211548509447
231.0,4.044948814186268
231.5,4.0466824710414775
232.0,4.048412534241018
232.5,4.050139018854892
233.0,4.051861939857963
233.5,4.053581312130768
234.0,4.055297150460303
234.5,4.057009469540811
235.0,4.058718283974558
235.5,4.060423608272602
236.0,4.0621254568555525
236.5,4.063823844054323
237.0,4.065518784110877
237.5,4.067210291178962
238.0,4.068898379324846
238.5,4.070583062528031
239.0,4.07226435468197
239.5,4.073942269594776
240.0,4.07561682098992
240.5,4.077288022506926
241.0,4.078955887702053
241.5,4.080620430048974
242.0,4.082281662939451
242.5,4.083939599683996
243.0,4.0855942535125305
243.5,4.087245637575038
244.0,4.088893764942207
244.5,4.090538648606069
245.0,4.092180301480632
245.5,4.093818736402506
246.0,4.095453966131519
246.5,4.097086003351336
247.0,4.09871486067006
247.5,4.100340550620834
248.0,4.101963085662442
248.5,4.10358247817989
249.0,4.10519874048499
249.5,4.106811884816946
250.0,4.108421923342915
250.5,4.110028868158578
251.0,4.111632731288701
251.5,4.11323352468769
252.0,4.114831260240138
252.5,4.116425949761371
253.0,4.1180176049979895
253.5,4.119606237628396
254.0,4.12119185926333
254.5,4.122774481446388
255.0,4.124354115654541
255.5,4.12593077329865
256.0,4.127504465723974
256.5,4.129075204210672
257.0,4.1306429999743015
257.5,4.132207864166318
258.0,4.133769807874556
258.5,4.135328842123718
259.0,4.1368849778758525
259.5,4.138438226030833
260.0,4.139988597426826
260.5,4.141536102840754
261.0,4.143080752988766
261.5,4.144622558526686
262.0,4.146161530050473
262.5,4.147697678096666
263.0,4.149231013142832
263.5,4.150761545608003
264.0,4.152289285853115
264.5,4.153814244181443
265.0,4.15533643083902
265.5,4.156855856015073
266.0,4.158372529842437
266.5,4.159886462397974
267.0,4.161397663702983
267.5,4.162906143723611
268.0,4.164411912371259
268.5,4.165914979502983
269.0,4.167415354921888
269.5,4.168913048377531
270.0,4.170408069566301
270.5,4.171900428131814
271.0,4.1733901336652925
271.5,4.174877195705946
272.0,4.17636162374135
272.5,4.177843427207815
273.0,4.179322615490761
273.5,4.1807991979250785
274.0,4.182273183795498
274.5,4.183744582336945
275.0,4.185213402734897
275.5,4.18667965412574
276.0,4.188143345597117
276.5,4.189604486188273
277.0,4.191063084890404
277.5,4.192519150646992
278.0,4.19397269235415
278.5,4.19542371886095
279.0,4.196872238969761
279.5,4.198318261436573
280.0,4.199761794971328
280.5,4.201202848238238
281.0,4.202641429856112
281.5,4.204077548398667
282.0,4.205511212394848
282.5,4.206942430329137
283.0,4.208371210641866
283.5,4.209797561729519
284.0,4.2112214919450395
284.5,4.21264300959813
285.0,4.214062122955554
285.5,4.215478840241429
286.0,4.216893169637522
286.5,4.218305119283537
287.0,4.219714697277411
287.5,4.221121911675592
288.0,4.222526770493329
288.5,4.223929281704951
289.0,4.225329453244145
289.5,4.226727293004233
290.0,4.228122808838448
290.5,4.229516008560202
291.0,4.23090689994336
291.5,4.232295490722505
292.0,4.233681788593204
292.5,4.235065801212267
293.0,4.236447536198013
293.5,4.237827001130527
294.0,4.239204203551912
294.5,4.24057915096655
295.0,4.241951850841345
295.5,4.243322310605984
296.0,4.244690537653175
296.5,4.246056539338896
297.0,4.2474203229826415
297.5,4.24878189586766
298.0,4.250141265241197
298.5,4.251498438314728
299.0,4.2528534222642
299.5,4.25420622423026
300.0,4.2555568513184925
300.5,4.256905310599642
301.0,4.258251609109848
301.5,4.259595753850868
302.0,4.2609377517903
302.5,4.262277609861811
303.0,4.2636153349653485
303.5,4.264950933967369
304.0,4.266284413701049
304.5,4.267615780966501
305.0,4.2689450425309925
305.5,4.270272205129147
306.0,4.271597275463166
306.5,4.272920260203029
307.0,4.274241165986706
307.5,4.275559999420358
308.0,4.2768767670785435
308.5,4.2781914755044195
309.0,4.279504131209942
309.5,4.280814740676063
310.0,4.28212331035293
310.5,4.283429846660081
311.0,4.284734355986635
311.5,4.286036844691492
312.0,4.287337319103516
312.5,4.288635785521727
313.0,4.289932250215491
313.5,4.2912267194247065
314.0,4.292519199359984
314.5,4.293809696202835
315.0,4.295098216105854
315.5,4.2963847651928955
316.0,4.297669349559257
316.5,4.298951975271853
317.0,4.300232648369395
317.5,4.301511374862565
318.0,4.302788160734188
318.5,4.304063011939409
319.0,4.305335934405856
319.5,4.306606934033819
320.0,4.307876016696411
320.5,4.309143188239737
321.0,4.310408454483066
321.5,4.311671821218985
322.0,4.312933294213569
322.5,4.3141928792065425
323.0,4.315450581911438
323.5,4.31670640801576
324.0,4.317960363181137
324.5,4.319212453043484
325.0,4.3204626832131545
325.5,4.3217110592751
326.0,4.322957586789018
326.5,4.3242022712895105
327.0,4.325445118286228
327.5,4.326686133264028
328.0,4.327925321683116
328.5,4.3291626889792
329.0,4.330398240563634
329.5,4.33163198182356
330.0,4.332863918122063
330.5,4.334094054798305
331.0,4.33532239716767
331.5,4.336548950521908
332.0,4.337773720129272
332.5,4.338996711234659
333.0,4.340217929059748
333.5,4.341437378803138
334.0,4.342655065640482
334.5,4.343870994724625
335.0,4.345085171185737
335.5,4.346297600131443
336.0,4.3475082866469625
336.5,4.3487172357952355
337.0,4.349924452617052
337.5,4.351129942131185
338.0,4.352333709334517
338.5,4.353535759202168
339.0,4.354736096687621
339.5,4.355934726722849
340.0,4.35713165421844
340.5,4.35832688406372
341.0,4.359520421126872
341.5,4.360712270255067
342.0,4.361902436274578
342.5,4.363090923990902
343.0,4.364277738188881
343.5,4.365462883632819
344.0,4.366646365066599
344.5,4.367828187213803
345.0,4.369008354777823
345.5,4.370186872441982
346.0,4.371363744869646
346.5,4.372538976704332
347.0,4.373712572569833
347.5,4.374884537070316
348.0,4.376054874790446
348.5,4.377223590295487
349.0,4.378390688131415
349.5,4.379556172825027
350.0,4.380720048884051
350.5,4.381882320797246
351.0,4.383042993034519
351.5,4.384202070047023
352.0,4.385359556267263
352.5,4.386515456109206
353.0,4.3876697739683745
353.5,4.388822514221961
354.0,4.389973681228921
354.5,4.391123279330077
355.0,4.392271312848222
355.5,4.393417786088217
356.0,4.39456270333709
